created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,user_id,user_screen_name,user_name,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count
2022-06-16 16:37:30+00:00,That butter pecan ice coffee from Dunkin Donuts hit every time ,[],[],[],0,0,,,1283108554413674496,aggyayana,T,78,87,42410,False,5558
2022-06-16 16:36:53+00:00,my dunkin slays today,[],[],[],0,0,,,1214632217152049155,oddeyewendy,lindi,90,70,7201,False,5249
2022-06-16 16:35:09+00:00,Idk if I want some Dunkin Donuts breakfast or a spicy chicken sandwich from Chick-fil-A  I do know Im hungry asll !,[],[],[],0,0,,,329511850,BunnyPrttyAss_,B U N N Y R A B B I T T 🐰™️,919,1514,18543,False,50054
2022-06-16 16:33:47+00:00,I would have never put the 2 together. I have not gone to a Dunkin in close to 8 years. I also have not been to Boston in like 6 years. I eat real donuts. But Fuck Boston always and forever.,[],"[21068104, 14544813]","['DanSaysThat', 'mmmeghan']",0,2,21068104,DanSaysThat,108507450,pat_in_thehat,Pat in the Hat,962,512,52953,False,18713
2022-06-16 16:32:31+00:00,That is why I dont drink Dunkin,[],[750354310345662464],['DynastyCLE'],0,0,750354310345662464,DynastyCLE,995848739649654785,HannahDonatelli,Dark Little Gremlin🦉,708,1405,17552,False,13109
2022-06-16 16:30:56+00:00,Taylor just picked me up and payed for my Dunkin just because,[],[],[],0,1,,,2761566976,GucciDidIt,AshleyNicole🦋,296,223,20843,False,11368
2022-06-16 16:30:03+00:00,Wanting to get food after work but not wanting to go to dunkin 4 days in a row and also not wanting to go inside a building alone,[],[],[],0,1,,,1284566214979788800,sweetbiIl,Sweet Bill,52,14,111,False,266
2022-06-16 16:29:09+00:00,i think sbux drinks are better and more diverse but the dunkin banana mocha split latte is the best drink i ever had,[],[],[],0,5,1364798951174594562,synthrunnr,1364798951174594562,synthrunnr,🏄🏽‍♂️,88,80,63627,False,11689
2022-06-16 16:28:49+00:00,"and now my whole tl is flowerchild and people dunkin in joe goddamn gonna just not be on today, tomorrow maybe. ,",[],[],[],0,0,,,1071076754222141441,SakataLouis,Henry,2723,990,93122,False,83259
2022-06-16 16:28:06+00:00,dunkin rewards program is so elite compared to sbux,[],[],[],0,3,,,1364798951174594562,synthrunnr,🏄🏽‍♂️,88,80,63627,False,11689
2022-06-16 16:27:25+00:00,"Dunkin &amp; Bankin. T-shirt courtesy of Links in her bio. Prolly almost sold out. Dont sleep  ,",[],[25922356],['YungLittlefoot'],0,1,,,4896201275,TheeSpanishGuy,Spanish,1047,639,17890,False,12547
2022-06-16 16:27:19+00:00,Boston is as synonymous with Dunkin as it is with January 6th.,[],[108507450],['pat_in_thehat'],0,3,108507450,pat_in_thehat,14544813,mmmeghan,Hillbillie Eilish,863,1991,80655,False,66924
2022-06-16 16:26:44+00:00,has anyone tried the blueberry flavor at dunkin,[],[],[],0,0,,,360560286,explicitgrande,gianna EMILY & VAL DAY 🏠,1457,19849,59193,False,43929
2022-06-16 16:26:42+00:00,Feeling naughty today. Walked by the Starbucks counter inside Target with my Dunkin coffee.,[],[],[],3,35,,,4107420617,iluvtacos0822,Princess Consuela Banana Hammock,2521,68863,41135,False,46348
2022-06-16 16:24:19+00:00,"LOL Why do they always chose the MOST expensive parts of the US? I can walk down the street to Dunkin Donuts and get a coffee and a bagel for like, 10 bucks. XD",[],[73535503],['naruruchan'],0,0,73535503,naruruchan,119932874,dragonsanpizza,アビー先生❤️Abi-sensei🍔,1931,539,10472,False,5149
2022-06-16 16:23:57+00:00,I donut see the correlation between Dunkin and the Celtics but I hate both places.,[],[14544813],['mmmeghan'],0,1,14544813,mmmeghan,108507450,pat_in_thehat,Pat in the Hat,962,512,52953,False,18713
2022-06-16 16:23:16+00:00,decided to get a new flavor of coffee from Dunkin Donuts! its garlic.,[],[],[],0,4,,,891967700,ratdoggirl,some guy probably,425,604,22333,False,15681
2022-06-16 16:21:56+00:00,Chilling with Dwight he keeps talking about breastfeeding. Trying to find any opportunity to leave quickly,[],[1298836829148459008],['rainyshore'],0,5,1298836829148459008,rainyshore,902256170,hum_dunkin,hum dunkin,868,1224,124872,False,21197
2022-06-16 16:21:37+00:00,I just want Dunkin Donuts to bring back their chicken sandwiches ,[],[],[],0,0,,,433434513,soflosay,𝐒𝐚𝐫𝐚𝐡𝐚𝐡𝐚✨𝕊𝕠𝔽𝕝𝕠𝓢𝓪𝔂,237,98,19764,False,10267
